BTC_Price,Asset_Value,Equity_Value,Distance_to_Default,Prob_Default,Credit_Spread,Leverage
20000.0,8.88524,2.8988724353309636,-0.8754905523813982,0.8093464757314167,2136.1210547726128,1.6656837631847874
23673.469387755104,10.517222857142858,3.9221290672798537,-0.7252695005806262,0.7658566436299113,1859.4319238367243,1.4072155930354235
27346.938775510203,12.149205714285713,5.028961370689114,-0.5967617352300431,0.724666765673488,1640.5289657547448,1.2181866327769342
31020.408163265307,13.781188571428572,6.20393975066214,-0.4844757365699346,0.6859758600373963,1462.7914268698269,1.0739276894217709
34693.87755102041,15.413171428571427,7.435167710947494,-0.38477133231350874,0.6497965797681524,1315.5398894357543,0.9602176987771127
38367.34693877551,17.045154285714286,8.713336512556179,-0.29511095334576093,0.6160454386992482,1191.5586523738687,0.8682819616601551
42040.816326530614,18.677137142857145,10.031061915614663,-0.21365488855226872,0.5845919036618116,1085.7762678512709,0.7924126640393648
45714.28571428571,20.30912,11.382412951860083,-0.13902674527582518,0.555285492698166,994.513158558076,0.7287366463933445
49387.755102040814,21.941102857142855,12.762572035140877,-0.07016984906466296,0.5279707639428145,915.0286574910882,0.6745330941822693
53061.22448979592,23.573085714285714,14.167586011485843,-0.00625529869059381,0.5024954868499886,845.2359651933665,0.6278346492004199
56734.69387755102,25.20506857142857,15.594181113068093,0.05337913221848928,0.47871491579096337,783.5160419074305,0.5871834848637021
60408.163265306124,26.83705142857143,17.039623504319866,0.10927088832920082,0.45649381802711314,728.5922464295915,0.5514763810544228
64081.63265306123,28.469034285714287,18.50161283810781,0.16186213821475998,0.43570720945476715,679.4436039424924,0.5198630853251884
67755.10204081633,30.101017142857142,19.97820004739912,0.21152104356623386,0.4162403566387311,635.2433900909663,0.49167773732562997
71428.57142857142,31.732999999999997,21.467723163485687,0.2585574057174047,0.3979883755843861,595.3147476834259,0.4663914536917405
75102.04081632654,33.36498285714286,22.968756705835084,0.3032343839488001,0.3808556236065106,559.0980301216462,0.443578828239427
78775.51020408163,34.996965714285714,24.480071405003486,0.3457774126653458,0.36475500068360983,526.126385127661,0.4228938051609046
82448.97959183675,36.62894857142857,26.000601875236413,0.38638108441201374,0.3496072284847225,496.0072353867042,0.4040520019606662
86122.44897959183,38.260931428571425,27.52942046253325,0.4252145313482526,0.3353401460031764,468.4080487882659,0.3868175563794056
89795.91836734694,39.89291428571428,29.065715933217415,0.4624256818791575,0.3218880429350285,443.0452755360477,0.3709932018002481
93469.38775510204,41.52489714285714,30.60877598849265,0.49814466329775225,0.3091910411433758,419.67565485158735,0.35641268295220346
97142.85714285714,43.15688,32.157972826772166,0.5324865481297678,0.29719452806483415,398.0893165583018,0.3429348924203974
100816.32653061225,44.78886285714286,33.712751151607684,0.5655535904585735,0.28584864209845057,378.10425755509186,0.3304392890528525
104489.79591836735,46.42084571428571,35.27261815544883,0.5974370618297479,0.2751078078557019,359.56188237990364,0.3188222827970882
108163.26530612246,48.05282857142857,36.83713510994008,0.6282187698047537,0.26493031801135086,342.3233751935756,0.3079943562115267
111836.73469387756,49.684811428571436,38.405910270356124,0.657972322797878,0.2552779579829623,326.2667271347005,0.29787775327027216
115510.20408163266,51.31679428571429,39.978592861089915,0.6867641904244262,0.24611566953289238,311.2842845142012,0.2884046091733377
119183.67346938775,52.94877714285714,41.55486795520267,0.7146545977928365,0.23741124947385583,297.28071409624647,0.27951542601388557
122857.14285714286,54.58076,43.13445209712012,0.7416982840016081,0.229135079869342,284.1713047606017,0.2711578219138026
126530.61224489796,56.212742857142864,44.71708954598153,0.7679451488575041,0.2212598863918558,271.8805422661008,0.26328549805178897
130204.08163265306,57.844725714285715,46.30254903968128,0.7934408070176328,0.21376052179746186,260.34090712450114,0.2558573805518952
133877.55102040817,59.476708571428574,47.89062099761507,0.8182270650162464,0.20661377177174733,249.49185581453386,0.24883690364650785
137551.02040816325,61.108691428571426,49.48111509455676,0.8423423337060902,0.19979818068698008,239.27895348705462,0.24219140770342606
141224.48979591837,62.740674285714285,51.07385814971703,0.8658219863314445,0.1932938950759005,229.65313249693287,0.2358916312024699
144897.9591836735,64.37265714285715,52.66869228445564,0.8886986706126421,0.1870825228709952,220.57005595906824,0.2299112799888861
148571.42857142858,66.00464,54.265473309792924,0.9110025817526827,0.18114700667833095,211.98956937304615,0.22422666042872139
152244.89795918367,67.63662285714285,55.86406931114548,0.9327617020945674,0.17547150955255597,203.87522642393273,0.21881636567306859
155918.3673469388,69.26860571428573,57.46435940287059,0.9540020122015603,0.17004131191573457,196.19387751950802,0.21366100627239418
159591.83673469388,70.90058857142857,59.06623262946363,0.974747677354393,0.16484271841891868,188.9153115993061,0.2087429779950245
163265.306122449,72.53257142857144,60.66958699378264,0.9950212128229781,0.15986297368359242,182.0119433499511,0.20404626099013642
166938.77551020408,74.16455428571427,62.274328595609134,1.0148436307470698,0.15509018598215457,175.45853926178745,0.19955624546712614
170612.2448979592,75.79653714285715,63.88037086630768,1.0342345710283245,0.15051325802419652,169.23197702532988,0.19525957989486742
174285.7142857143,77.42852,65.48763388739893,1.0532124182778426,0.1461218241101201,163.31103363896034,0.19114403839825428
177959.18367346938,79.06050285714285,67.09604378259083,1.0717944065647622,0.1419061929971001,157.67619831965425,0.18719840457810685
181632.6530612245,80.69248571428572,68.70553217426684,1.0899967134617266,0.1378572958959065,152.30950690446554,0.18341236942933611
185306.1224489796,82.32446857142857,70.31603569666562,1.1078345446733575,0.13396663908183826,147.1943949266187,0.17977644140100127
188979.5918367347,83.95645142857143,71.92749555903163,1.1253222103570855,0.1302262606600748,142.31556696358732,0.17628186694612222
192653.0612244898,85.58843428571429,73.53985715290735,1.1424731940961574,0.1266286910760559,137.658880201182,0.1729205601611326
196326.5306122449,87.22041714285714,75.15306969849877,1.1593002153577086,0.12316691700588889,133.21124044897593,0.1696850403244378
200000.0,88.8524,76.7670859256961,1.1758152861606814,0.11983434830098594,128.96050908799387,0.16656837631847873
