Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2020-08-11,11410.525390625,13.48900032043457,21454.0,244801411.73046875,3291316078.186035,12.444841085352236
2020-08-12,11584.9345703125,13.70400047302246,21454.0,248543186.27148438,3343776115.41748,12.45350144407123
2020-08-13,11784.1376953125,13.699999809265137,21454.0,252816890.11523438,3342799953.4606934,12.222217676742401
2020-08-14,11768.87109375,14.663000106811523,21454.0,252489360.4453125,3577772026.0620117,13.169991241420776
2020-08-15,11865.6982421875,,21454.0,254566690.08789062,,
2020-08-16,11892.8037109375,,21454.0,255148210.81445312,,
2020-08-17,12254.40234375,14.383999824523926,21454.0,262905947.8828125,3509695957.183838,12.349625542698817
2020-08-18,11991.2333984375,14.314000129699709,21454.0,257259921.33007812,3492616031.646729,12.576215111896568
2020-08-19,11758.283203125,14.166999816894531,21454.0,252262207.83984375,3456747955.3222656,12.702995723865566
2020-08-20,11878.3720703125,14.413999557495115,21454.0,254838594.39648438,3517015892.028808,12.800954680188454
2020-08-21,11592.4892578125,14.508000373840332,21454.0,248705264.53710938,3539952091.217041,13.233522952582469
2020-08-22,11681.8251953125,,21454.0,250621877.74023438,,
2020-08-23,11664.84765625,,21454.0,250257641.6171875,,
2020-08-24,11774.595703125,14.857999801635742,21454.0,252612176.21484375,3625351951.599121,13.351453702357565
2020-08-25,11366.134765625,14.696000099182127,21454.0,243849055.26171875,3585824024.200439,13.705097054207732
2020-08-26,11488.36328125,14.605999946594238,21454.0,246471345.8359375,3563863986.968994,13.459546909527015
2020-08-27,11323.3974609375,14.652000427246094,21454.0,242932169.12695312,3575088104.248047,13.716404653595932
2020-08-28,11542.5,14.689000129699709,21454.0,247632795.0,3584116031.646729,13.473511198897258
2020-08-29,11506.865234375,,21454.0,246868286.73828125,,
2020-08-30,11711.505859375,,21454.0,251258646.70703125,,
2020-08-31,11680.8203125,14.444000244140623,21454.0,250600318.984375,3524336059.570312,13.063573717119073
2020-09-01,11970.478515625,14.881999969482422,21454.0,256814646.07421875,3631207992.553711,13.139411626486059
2020-09-02,11414.0341796875,15.0,21454.0,244876689.29101562,3660000000.0,13.946298116806021
2020-09-03,10245.296875,14.428000450134276,21454.0,219802599.15625,3520432109.832763,15.016335217811555
2020-09-04,10511.8134765625,14.218999862670898,21454.0,225520446.32617188,3469435966.491699,14.384130454734152
2020-09-05,10169.5673828125,,21454.0,218177898.63085938,,
2020-09-06,10280.3515625,,21454.0,220554662.421875,,
2020-09-07,10369.5634765625,,21454.0,222468614.82617188,,
2020-09-08,10131.5166015625,13.881999969482422,21454.0,217361557.16992188,3387207992.553711,14.58328913656875
2020-09-09,10242.34765625,14.114999771118164,21454.0,219739326.6171875,3444059944.152832,14.673388997649935
2020-09-10,10363.138671875,13.972000122070312,21454.0,222330777.06640625,3409168029.7851562,14.333765638604763
2020-09-11,10400.9150390625,14.11299991607666,21454.0,223141231.24804688,3443571979.522705,14.43225319795239
2020-09-12,10442.1708984375,,21454.0,224026334.45507812,,
2020-09-13,10323.755859375,,21454.0,221485858.20703125,,
2020-09-14,10680.837890625,14.26200008392334,38250.0,408542049.31640625,3479928020.477295,7.517918844094729
2020-09-15,10796.951171875,15.574999809265137,38250.0,412983382.32421875,3800299953.4606934,8.202065061487659
2020-09-16,10974.9052734375,17.489999771118164,38250.0,419790126.7089844,4267559944.152832,9.165936911401632
2020-09-17,10948.990234375,16.361000061035156,38250.0,418798876.46484375,3992084014.892578,8.532222360743834
2020-09-18,10944.5859375,15.958999633789062,38250.0,418630412.109375,3893995910.6445312,8.301751134189344
2020-09-19,11094.3466796875,,38250.0,424358760.4980469,,
2020-09-20,10938.271484375,,38250.0,418388884.27734375,,
2020-09-21,10462.259765625,15.215999603271484,38250.0,400181436.03515625,3712703903.198242,8.277551552571465
2020-09-22,10538.4599609375,15.425000190734863,38250.0,403096093.5058594,3763700046.5393066,8.336979710731425
2020-09-23,10246.1865234375,14.82800006866455,38250.0,391916634.5214844,3618032016.7541504,8.231636776968227
2020-09-24,10760.06640625,14.605999946594238,38250.0,411572540.0390625,3563863986.968994,7.659139374630646
2020-09-25,10692.716796875,14.61299991607666,38250.0,408996417.48046875,3565571979.522705,7.717856262623561
2020-09-26,10750.7236328125,,38250.0,411215178.9550781,,
2020-09-27,10775.26953125,,38250.0,412154059.5703125,,
2020-09-28,10709.65234375,15.145999908447266,38250.0,409644202.1484375,3695623977.661133,8.021545912962774
2020-09-29,10844.640625,14.968999862670898,38250.0,414807503.90625,3652435966.491699,7.80513474827876
2020-09-30,10784.4912109375,15.055999755859377,38250.0,412506788.8183594,3673663940.429688,7.90570540900195
2020-10-01,10619.4521484375,14.895999908447266,38250.0,406194044.6777344,3634623977.661133,7.947999177449205
2020-10-02,10575.974609375,14.645999908447266,38250.0,404531028.80859375,3573623977.661133,7.833992260583833
2020-10-03,10549.3291015625,,38250.0,403511838.1347656,,
2020-10-04,10669.5830078125,,38250.0,408111550.0488281,,
2020-10-05,10793.33984375,14.821000099182127,38250.0,412845249.0234375,3616324024.200439,7.7595146916542035
2020-10-06,10604.40625,15.003999710083008,38250.0,405618539.0625,3660975929.260254,8.025662233589747
2020-10-07,10668.96875,15.309000015258787,38250.0,408088054.6875,3735396003.723144,8.153406870935205
2020-10-08,10915.685546875,16.393999099731445,38250.0,417524972.16796875,4000135780.3344727,8.580590496333793
2020-10-09,11064.4580078125,16.472999572753906,38250.0,423215518.7988281,4019411895.751953,8.497316892253533
2020-10-10,11296.361328125,,38250.0,432085820.80078125,,
2020-10-11,11384.181640625,,38250.0,435444947.75390625,,
2020-10-12,11555.36328125,16.645999908447266,38250.0,441992645.5078125,4061623977.661133,8.189347422273661
2020-10-13,11425.8994140625,16.607999801635742,38250.0,437040652.5878906,4052351951.599121,8.272254028552132
2020-10-14,11429.5068359375,16.423999786376953,38250.0,437178636.4746094,4007455947.8759766,8.166632615426813
2020-10-15,11495.349609375,16.597000122070312,38250.0,439697122.55859375,4049668029.7851562,8.210130842385716
2020-10-16,11322.123046875,16.469999313354492,38250.0,433071206.54296875,4018679832.458496,8.27948977383646
2020-10-17,11358.1015625,,38250.0,434447384.765625,,
2020-10-18,11483.359375,,38250.0,439238496.09375,,
2020-10-19,11742.037109375,16.413999557495117,38250.0,449132919.43359375,4005015892.0288086,7.917217417684672
2020-10-20,11916.3349609375,16.906999588012695,38250.0,455799812.2558594,4125307899.4750977,8.050701181858738
2020-10-21,12823.689453125,18.104999542236328,38250.0,490506121.58203125,4417619888.305664,8.00624822796808
2020-10-22,12965.8916015625,18.30500030517578,38250.0,495945353.7597656,4466420074.462891,8.00587139410204
2020-10-23,12931.5390625,18.43000030517578,38250.0,494631369.140625,4496920074.462891,8.091457507589666
2020-10-24,13108.0625,,38250.0,501383390.625,,
2020-10-25,13031.173828125,,38250.0,498442398.92578125,,
2020-10-26,13075.248046875,17.5,38250.0,500128237.79296875,4270000000.0,7.5378102601109145
2020-10-27,13654.21875,17.558000564575195,38250.0,522273867.1875,4284152137.7563477,7.202884361852068
2020-10-28,13271.28515625,16.21500015258789,38250.0,507626657.2265625,3956460037.2314453,6.794035204627973
2020-10-29,13437.8828125,16.195999145507812,38250.0,513999017.578125,3951823791.5039062,6.688387830241817
2020-10-30,13546.5224609375,16.707000732421875,38250.0,518154484.1308594,4076508178.7109375,6.867360610704316
2020-10-31,13780.9951171875,,38250.0,527123063.2324219,,
2020-11-01,13737.109375,,38250.0,525444433.59375,,
2020-11-02,13550.4892578125,16.656999588012695,38250.0,518306214.1113281,4064307899.4750977,6.841518756327541
2020-11-03,13950.30078125,17.19499969482422,38250.0,533599004.8828125,4195579925.5371094,6.862795633321188
2020-11-04,14133.70703125,17.253000259399414,38250.0,540614293.9453125,4209732063.293457,6.786941837167379
